AstarPath.AstarDistribution	astarpath.html#AstarDistribution	Information about where the package was downloaded.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.cellHeight	jobvoxelize.html#cellHeight	The y-axis cell size to use for fields. \n\n[Limit: &gt; 0] [Units: wu]
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.cellSize	jobvoxelize.html#cellSize	The xz-plane cell size to use for fields. \n\n[Limit: &gt; 0] [Units: wu]
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.graphSpaceBounds	jobvoxelize.html#graphSpaceBounds	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.graphSpaceLimits	jobvoxelize.html#graphSpaceLimits	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.graphTransform	jobvoxelize.html#graphTransform	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.inputMeshes	jobvoxelize.html#inputMeshes	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.maxSlope	jobvoxelize.html#maxSlope	The maximum slope that is considered walkable. \n\n[Limits: 0 &lt;= value &lt; 90] [Units: Degrees]
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.voxelArea	jobvoxelize.html#voxelArea	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.voxelWalkableClimb	jobvoxelize.html#voxelWalkableClimb	Maximum ledge height that is considered to still be traversable. \n\n[Limit: &gt;=0] [Units: vx]
Pathfinding.Graphs.Navmesh.Voxelization.Burst.JobVoxelize.voxelWalkableHeight	jobvoxelize.html#voxelWalkableHeight	Minimum floor to 'ceiling' height that will still allow the floor area to be considered walkable. \n\n[Limit: &gt;= 3] [Units: vx]
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.AvgSpanLayerCountEstimate	linkedvoxelfield.html#AvgSpanLayerCountEstimate	Initial estimate on the average number of spans (layers) in the voxel representation. \n\nShould be greater or equal to 1
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.InvalidSpanValue	linkedvoxelfield.html#InvalidSpanValue	Constant for default LinkedVoxelSpan top and bottom values. \n\nIt is important with the U since ~0 != ~0U This can be used to check if a LinkedVoxelSpan is valid and not just the default span
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.MaxHeight	linkedvoxelfield.html#MaxHeight	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.MaxHeightInt	linkedvoxelfield.html#MaxHeightInt	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.depth	linkedvoxelfield.html#depth	The depth of the field along the z-axis. \n\n[Limit: &gt;= 0] [Units: voxels]
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.flatten	linkedvoxelfield.html#flatten	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.height	linkedvoxelfield.html#height	The maximum height coordinate. \n\n[Limit: &gt;= 0, &lt;= MaxHeight] [Units: voxels]
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.linkedCellMinMax	linkedvoxelfield.html#linkedCellMinMax	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.linkedSpans	linkedvoxelfield.html#linkedSpans	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.removedStack	linkedvoxelfield.html#removedStack	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelField.width	linkedvoxelfield.html#width	The width of the field along the x-axis. \n\n[Limit: &gt;= 0] [Units: voxels]
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelSpan.area	linkedvoxelspan.html#area	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelSpan.bottom	linkedvoxelspan.html#bottom	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelSpan.next	linkedvoxelspan.html#next	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.LinkedVoxelSpan.top	linkedvoxelspan.html#top	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.RasterizationMesh.area	rasterizationmesh.html#area	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.RasterizationMesh.areaIsTag	rasterizationmesh.html#areaIsTag	If true, the area will be interpreted as a node tag and applied to the final nodes.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.RasterizationMesh.bounds	rasterizationmesh.html#bounds	World bounds of the mesh. \n\nAssumed to already be multiplied with the matrix
Pathfinding.Graphs.Navmesh.Voxelization.Burst.RasterizationMesh.doubleSided	rasterizationmesh.html#doubleSided	If true, both sides of the mesh will be walkable. \n\nIf false, only the side that the normal points towards will be walkable
Pathfinding.Graphs.Navmesh.Voxelization.Burst.RasterizationMesh.flatten	rasterizationmesh.html#flatten	If true, the mesh will be flattened to the base of the graph during rasterization. \n\nThis is intended for rasterizing 2D meshes which always lie in a single plane.\n\nThis will also cause unwalkable spans have precedence over walkable ones at all times, instead of only when the unwalkable span is sufficiently high up over a walkable span. Since when flattening, "sufficiently high up" makes no sense.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.RasterizationMesh.matrix	rasterizationmesh.html#matrix	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.RasterizationMesh.solid	rasterizationmesh.html#solid	If true then the mesh will be treated as solid and its interior will be unwalkable. \n\nThe unwalkable region will be the minimum to maximum y coordinate in each cell.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.RasterizationMesh.triangles	rasterizationmesh.html#triangles	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.RasterizationMesh.vertices	rasterizationmesh.html#vertices	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelContour.area	voxelcontour.html#area	Area ID of the contour.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelContour.nverts	voxelcontour.html#nverts	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelContour.reg	voxelcontour.html#reg	Region ID of the contour.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelContour.vertexStartIndex	voxelcontour.html#vertexStartIndex	Vertex coordinates, each vertex contains 4 components.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelMesh.areas	voxelmesh.html#areas	Area index for each triangle.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelMesh.tris	voxelmesh.html#tris	Triangles of the mesh. \n\nEach element points to a vertex in the verts array
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelMesh.verts	voxelmesh.html#verts	Vertices of the mesh.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.BorderReg	voxelutilityburst.html#BorderReg	If heightfield region ID has the following bit set, the region is on border area and excluded from many calculations.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.ContourRegMask	voxelutilityburst.html#ContourRegMask	Mask used with contours to extract region id.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.DX	voxelutilityburst.html#DX	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.DZ	voxelutilityburst.html#DZ	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.RC_AREA_BORDER	voxelutilityburst.html#RC_AREA_BORDER	
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.RC_BORDER_VERTEX	voxelutilityburst.html#RC_BORDER_VERTEX	If contour region ID has the following bit set, the vertex will be later removed in order to match the segments and vertices at tile boundaries.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.RC_CONTOUR_TESS_AREA_EDGES	voxelutilityburst.html#RC_CONTOUR_TESS_AREA_EDGES	Tessellate edges between areas.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.RC_CONTOUR_TESS_TILE_EDGES	voxelutilityburst.html#RC_CONTOUR_TESS_TILE_EDGES	Tessellate edges at the border of the tile.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.RC_CONTOUR_TESS_WALL_EDGES	voxelutilityburst.html#RC_CONTOUR_TESS_WALL_EDGES	Tessellate wall edges.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.TagReg	voxelutilityburst.html#TagReg	If a cell region has this bit set then The remaining region bits (see TagRegMask) will be used for the node's tag.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.TagRegMask	voxelutilityburst.html#TagRegMask	All bits in the region which will be interpreted as a tag.
Pathfinding.Graphs.Navmesh.Voxelization.Burst.VoxelUtilityBurst.VERTEX_BUCKET_COUNT	voxelutilityburst.html#VERTEX_BUCKET_COUNT	
Pathfinding.Graphs.Navmesh.Voxelization.Int3PolygonClipper.clipPolygonCache	int3polygonclipper.html#clipPolygonCache	
Pathfinding.Graphs.Navmesh.Voxelization.VoxelPolygonClipper.n	voxelpolygonclipper.html#n	
Pathfinding.Graphs.Navmesh.Voxelization.VoxelPolygonClipper.this[int i]	voxelpolygonclipper.html#thisinti	
Pathfinding.Graphs.Navmesh.Voxelization.VoxelPolygonClipper.x	voxelpolygonclipper.html#x	
Pathfinding.Graphs.Navmesh.Voxelization.VoxelPolygonClipper.y	voxelpolygonclipper.html#y	
Pathfinding.Graphs.Navmesh.Voxelization.VoxelPolygonClipper.z	voxelpolygonclipper.html#z	
Pathfinding.Graphs.Util.EuclideanEmbedding.EuclideanEmbeddingSearchPath.costIndexStride	euclideanembeddingsearchpath.html#costIndexStride	
Pathfinding.Graphs.Util.EuclideanEmbedding.EuclideanEmbeddingSearchPath.costs	euclideanembeddingsearchpath.html#costs	
Pathfinding.Graphs.Util.EuclideanEmbedding.EuclideanEmbeddingSearchPath.furthestNode	euclideanembeddingsearchpath.html#furthestNode	
Pathfinding.Graphs.Util.EuclideanEmbedding.EuclideanEmbeddingSearchPath.furthestNodeScore	euclideanembeddingsearchpath.html#furthestNodeScore	
Pathfinding.Graphs.Util.EuclideanEmbedding.EuclideanEmbeddingSearchPath.pivotIndex	euclideanembeddingsearchpath.html#pivotIndex	
Pathfinding.Graphs.Util.EuclideanEmbedding.EuclideanEmbeddingSearchPath.startNode	euclideanembeddingsearchpath.html#startNode	
Pathfinding.Graphs.Util.EuclideanEmbedding.costs	euclideanembedding.html#costs	Costs laid out as n*[int],n*[int],n*[int] where n is the number of pivot points. \n\nEach node has n integers which is the cost from that node to the pivot node. They are at around the same place in the array for simplicity and for cache locality.\n\ncost(nodeIndex, pivotIndex) = costs[nodeIndex*pivotCount+pivotIndex]
Pathfinding.Graphs.Util.EuclideanEmbedding.dirty	euclideanembedding.html#dirty	
Pathfinding.Graphs.Util.EuclideanEmbedding.mode	euclideanembedding.html#mode	If heuristic optimization should be used and how to place the pivot points. \n\n[more in online documentation]
Pathfinding.Graphs.Util.EuclideanEmbedding.pivotCount	euclideanembedding.html#pivotCount	
Pathfinding.Graphs.Util.EuclideanEmbedding.pivotPointRoot	euclideanembedding.html#pivotPointRoot	All children of this transform will be used as pivot points.
Pathfinding.Graphs.Util.EuclideanEmbedding.pivots	euclideanembedding.html#pivots	
Pathfinding.Graphs.Util.EuclideanEmbedding.ra	euclideanembedding.html#ra	
Pathfinding.Graphs.Util.EuclideanEmbedding.rc	euclideanembedding.html#rc	
Pathfinding.Graphs.Util.EuclideanEmbedding.rval	euclideanembedding.html#rval	
Pathfinding.Graphs.Util.EuclideanEmbedding.seed	euclideanembedding.html#seed	
Pathfinding.Graphs.Util.EuclideanEmbedding.spreadOutCount	euclideanembedding.html#spreadOutCount	
Pathfinding.Graphs.Util.HeuristicOptimizationMode	util.html#HeuristicOptimizationMode	
Pathfinding.GridGraph.CombinedGridGraphUpdatePromise.promises	combinedgridgraphupdatepromise.html#promises	
Pathfinding.GridGraph.Depth	gridgraph.html#Depth	
Pathfinding.GridGraph.FixedPrecisionScale	gridgraph.html#FixedPrecisionScale	Scaling used for the coordinates in the Linecast methods that take normalized points using integer coordinates. \n\nTo convert from world space, each coordinate is multiplied by this factor and then rounded to the nearest integer.\n\nTypically you do not need to use this constant yourself, instead use the Linecast overloads that do not take integer coordinates.
Pathfinding.GridGraph.GridGraphMovePromise.dx	gridgraphmovepromise.html#dx	
Pathfinding.GridGraph.GridGraphMovePromise.dz	gridgraphmovepromise.html#dz	
Pathfinding.GridGraph.GridGraphMovePromise.graph	gridgraphmovepromise.html#graph	
Pathfinding.GridGraph.GridGraphMovePromise.promises	gridgraphmovepromise.html#promises	
Pathfinding.GridGraph.GridGraphMovePromise.rects	gridgraphmovepromise.html#rects	
Pathfinding.GridGraph.GridGraphMovePromise.startingSize	gridgraphmovepromise.html#startingSize	
Pathfinding.GridGraph.GridGraphSnapshot.graph	gridgraphsnapshot.html#graph	
Pathfinding.GridGraph.GridGraphSnapshot.nodes	gridgraphsnapshot.html#nodes	
Pathfinding.GridGraph.GridGraphUpdatePromise.CostEstimate	gridgraphupdatepromise.html#CostEstimate	
Pathfinding.GridGraph.GridGraphUpdatePromise.NodesHolder.nodes	nodesholder.html#nodes	
Pathfinding.GridGraph.GridGraphUpdatePromise.allocationMethod	gridgraphupdatepromise.html#allocationMethod	
Pathfinding.GridGraph.GridGraphUpdatePromise.context	gridgraphupdatepromise.html#context	
Pathfinding.GridGraph.GridGraphUpdatePromise.dependencyTracker	gridgraphupdatepromise.html#dependencyTracker	
Pathfinding.GridGraph.GridGraphUpdatePromise.emptyUpdate	gridgraphupdatepromise.html#emptyUpdate	
Pathfinding.GridGraph.GridGraphUpdatePromise.fullRecalculationBounds	gridgraphupdatepromise.html#fullRecalculationBounds	
Pathfinding.GridGraph.GridGraphUpdatePromise.graph	gridgraphupdatepromise.html#graph	
Pathfinding.GridGraph.GridGraphUpdatePromise.graphUpdateObject	gridgraphupdatepromise.html#graphUpdateObject	
Pathfinding.GridGraph.GridGraphUpdatePromise.isFinalUpdate	gridgraphupdatepromise.html#isFinalUpdate	
Pathfinding.GridGraph.GridGraphUpdatePromise.nodeArrayBounds	gridgraphupdatepromise.html#nodeArrayBounds	
Pathfinding.GridGraph.GridGraphUpdatePromise.nodes	gridgraphupdatepromise.html#nodes	
Pathfinding.GridGraph.GridGraphUpdatePromise.nodesDependsOn	gridgraphupdatepromise.html#nodesDependsOn	
Pathfinding.GridGraph.GridGraphUpdatePromise.ownsJobDependencyTracker	gridgraphupdatepromise.html#ownsJobDependencyTracker	
Pathfinding.GridGraph.GridGraphUpdatePromise.readBounds	gridgraphupdatepromise.html#readBounds	
Pathfinding.GridGraph.GridGraphUpdatePromise.recalculationMode	gridgraphupdatepromise.html#recalculationMode	
Pathfinding.GridGraph.GridGraphUpdatePromise.rect	gridgraphupdatepromise.html#rect	
Pathfinding.GridGraph.GridGraphUpdatePromise.transform	gridgraphupdatepromise.html#transform	
Pathfinding.GridGraph.GridGraphUpdatePromise.writeMaskBounds	gridgraphupdatepromise.html#writeMaskBounds	
Pathfinding.GridGraph.HexagonConnectionMask	gridgraph.html#HexagonConnectionMask	Mask based on <b>hexagonNeighbourIndices</b>. \n\nThis indicates which connections (out of the 8 standard ones) should be enabled for hexagonal graphs.\n\n<b>[code in online documentation]</b>
Pathfinding.GridGraph.LayerCount	gridgraph.html#LayerCount	Number of layers in the graph. \n\nFor grid graphs this is always 1, for layered grid graphs it can be higher. The nodes array has the size width*depth*layerCount.
Pathfinding.GridGraph.MaxLayers	gridgraph.html#MaxLayers	
Pathfinding.GridGraph.RecalculationMode	gridgraph.html#RecalculationMode	
Pathfinding.GridGraph.StandardDimetricAngle	gridgraph.html#StandardDimetricAngle	Commonly used value for isometricAngle.
Pathfinding.GridGraph.StandardIsometricAngle	gridgraph.html#StandardIsometricAngle	Commonly used value for isometricAngle.
Pathfinding.GridGraph.TextureData.ChannelUse	texturedata.html#ChannelUse	
Pathfinding.GridGraph.TextureData.channels	texturedata.html#channels	
Pathfinding.GridGraph.TextureData.data	texturedata.html#data	
Pathfinding.GridGraph.TextureData.enabled	texturedata.html#enabled	
Pathfinding.GridGraph.TextureData.factors	texturedata.html#factors	
Pathfinding.GridGraph.TextureData.source	texturedata.html#source	
Pathfinding.GridGraph.Width	gridgraph.html#Width	
Pathfinding.GridGraph.allNeighbourIndices	gridgraph.html#allNeighbourIndices	Which neighbours are going to be used when neighbours=8.
Pathfinding.GridGraph.aspectRatio	gridgraph.html#aspectRatio	Scaling of the graph along the X axis. \n\nThis should be used if you want different scales on the X and Y axis of the grid\n\nThis option is only visible in the inspector if the graph shape is set to isometric or advanced.
Pathfinding.GridGraph.axisAlignedNeighbourIndices	gridgraph.html#axisAlignedNeighbourIndices	Which neighbours are going to be used when neighbours=4.
Pathfinding.GridGraph.bounds	gridgraph.html#bounds	World bounding box for the graph. \n\nThis always contains the whole graph.\n\n[more in online documentation]
Pathfinding.GridGraph.center	gridgraph.html#center	Center point of the grid in world space. \n\nThe graph can be positioned anywhere in the world.\n\n[more in online documentation]
Pathfinding.GridGraph.collision	gridgraph.html#collision	Settings on how to check for walkability and height.
Pathfinding.GridGraph.cutCorners	gridgraph.html#cutCorners	If disabled, will not cut corners on obstacles. \n\nIf this is true, and neighbours is set to <b>Eight</b>, obstacle corners are allowed to be cut by a connection.\n\n <b>[image in online documentation]</b>
Pathfinding.GridGraph.depth	gridgraph.html#depth	Depth (height) of the grid in nodes. \n\nGrid graphs are typically anywhere from 10-500 nodes wide. But it can go up to 1024 nodes wide by default. Consider using a recast graph instead, if you find yourself needing a very high resolution grid.\n\nThis value will be clamped to at most 1024 unless <b>ASTAR_LARGER_GRIDS</b> has been enabled in the A* Inspector -&gt; Optimizations tab.\n\n[more in online documentation]
Pathfinding.GridGraph.erodeIterations	gridgraph.html#erodeIterations	Number of times to erode the graph. \n\nThe graph can be eroded to add extra margin to obstacles. It is very convenient if your graph contains ledges, and where the walkable nodes without erosion are too close to the edge.\n\nBelow is an image showing a graph with 0, 1 and 2 erosion iterations:  <b>[image in online documentation]</b>\n\n[more in online documentation]
Pathfinding.GridGraph.erosionFirstTag	gridgraph.html#erosionFirstTag	Tag to start from when using tags for erosion. \n\n[more in online documentation]
Pathfinding.GridGraph.erosionTagsPrecedenceMask	gridgraph.html#erosionTagsPrecedenceMask	Bitmask for which tags can be overwritten by erosion tags. \n\nWhen erosionUseTags is enabled, nodes near unwalkable nodes will be marked with tags. However, if these nodes already have tags, you may want the custom tag to take precedence. This mask controls which tags are allowed to be replaced by the new erosion tags.\n\nIn the image below, erosion has applied tags which have overwritten both the base tag (tag 0) and the custom tag set on the nodes (shown in red).  <b>[image in online documentation]</b>\n\nIn the image below, erosion has applied tags, but it was not allowed to overwrite the custom tag set on the nodes (shown in red).  <b>[image in online documentation]</b>\n\n[more in online documentation]
Pathfinding.GridGraph.erosionUseTags	gridgraph.html#erosionUseTags	Use tags instead of walkability for erosion. \n\nTags will be used for erosion instead of marking nodes as unwalkable. The nodes will be marked with tags in an increasing order starting with the tag erosionFirstTag. Debug with the Tags mode to see the effect. With this enabled you can in effect set how close different AIs are allowed to get to walls using the Valid Tags field on the Seeker component.  <b>[image in online documentation]</b><b>[image in online documentation]</b>\n\n[more in online documentation]
Pathfinding.GridGraph.hexagonNeighbourIndices	gridgraph.html#hexagonNeighbourIndices	Which neighbours are going to be used when neighbours=6.
Pathfinding.GridGraph.inspectorGridMode	gridgraph.html#inspectorGridMode	Determines the layout of the grid graph inspector in the Unity Editor. \n\nA grid graph can be set up as a normal grid, isometric grid or hexagonal grid. Each of these modes use a slightly different inspector layout. When changing the shape in the inspector, it will automatically set other relevant fields to appropriate values. For example, when setting the shape to hexagonal it will automatically set the neighbours field to Six.\n\nThis field is only used in the editor, it has no effect on the rest of the game whatsoever.\n\nIf you want to change the grid shape like in the inspector you can use the SetGridShape method.
Pathfinding.GridGraph.inspectorHexagonSizeMode	gridgraph.html#inspectorHexagonSizeMode	Determines how the size of each hexagon is set in the inspector. \n\nFor hexagons the normal nodeSize field doesn't really correspond to anything specific on the hexagon's geometry, so this enum is used to give the user the opportunity to adjust more concrete dimensions of the hexagons without having to pull out a calculator to calculate all the square roots and complicated conversion factors.\n\nThis field is only used in the graph inspector, the nodeSize field will always use the same internal units. If you want to set the node size through code then you can use ConvertHexagonSizeToNodeSize.\n\n <b>[image in online documentation]</b>\n\n[more in online documentation]
Pathfinding.GridGraph.is2D	gridgraph.html#is2D	Get or set if the graph should be in 2D mode. \n\n[more in online documentation]
Pathfinding.GridGraph.isScanned	gridgraph.html#isScanned	True if the graph has been scanned and contains nodes. \n\nGraphs are typically scanned when the game starts, but they can also be scanned manually.\n\nIf a graph has not been scanned, it does not contain any nodes and it not possible to use it for pathfinding.\n\n[more in online documentation]
Pathfinding.GridGraph.isometricAngle	gridgraph.html#isometricAngle	Angle in degrees to use for the isometric projection. \n\nIf you are making a 2D isometric game, you may want to use this parameter to adjust the layout of the graph to match your game. This will essentially scale the graph along one of its diagonals to produce something like this:\n\nA perspective view of an isometric graph.  <b>[image in online documentation]</b>\n\nA top down view of an isometric graph. Note that the graph is entirely 2D, there is no perspective in this image.  <b>[image in online documentation]</b>\n\nFor commonly used values see StandardIsometricAngle and StandardDimetricAngle.\n\nUsually the angle that you want to use is either 30 degrees (alternatively 90-30 = 60 degrees) or atan(1/sqrt(2)) which is approximately 35.264 degrees (alternatively 90 - 35.264 = 54.736 degrees). You might also want to rotate the graph plus or minus 45 degrees around the Y axis to get the oritientation required for your game.\n\nYou can read more about it on the wikipedia page linked below.\n\n[more in online documentation]\nThis option is only visible in the inspector if the graph shape is set to isometric or advanced.
Pathfinding.GridGraph.maxClimb	gridgraph.html#maxClimb	The max y coordinate difference between two nodes to enable a connection. \n\n[more in online documentation]
Pathfinding.GridGraph.maxSlope	gridgraph.html#maxSlope	The max slope in degrees for a node to be walkable.
Pathfinding.GridGraph.maxStepHeight	gridgraph.html#maxStepHeight	The max y coordinate difference between two nodes to enable a connection. \n\nSet to 0 to ignore the value.\n\nThis affects for example how the graph is generated around ledges and stairs.\n\n[more in online documentation]
Pathfinding.GridGraph.maxStepUsesSlope	gridgraph.html#maxStepUsesSlope	Take the slope into account for maxStepHeight. \n\nWhen this is enabled the normals of the terrain will be used to make more accurate estimates of how large the steps are between adjacent nodes.\n\nWhen this is disabled then calculated step between two nodes is their y coordinate difference. This may be inaccurate, especially at the start of steep slopes.\n\n <b>[image in online documentation]</b>\n\nIn the image below you can see an example of what happens near a ramp. In the topmost image the ramp is not connected with the rest of the graph which is obviously not what we want. In the middle image an attempt has been made to raise the max step height while keeping maxStepUsesSlope disabled. However this causes too many connections to be added. The agent should not be able to go up the ramp from the side. Finally in the bottommost image the maxStepHeight has been restored to the original value but maxStepUsesSlope has been enabled. This configuration handles the ramp in a much smarter way. Note that all the values in the image are just example values, they may be different for your scene.  <b>[image in online documentation]</b>\n\n[more in online documentation]
Pathfinding.GridGraph.neighbourCosts	gridgraph.html#neighbourCosts	Costs to neighbour nodes. \n\nSee neighbourOffsets.
Pathfinding.GridGraph.neighbourOffsets	gridgraph.html#neighbourOffsets	Index offset to get neighbour nodes. \n\nAdded to a node's index to get a neighbour node index.\n\n<b>[code in online documentation]</b>
Pathfinding.GridGraph.neighbourXOffsets	gridgraph.html#neighbourXOffsets	Offsets in the X direction for neighbour nodes. \n\nOnly 1, 0 or -1
Pathfinding.GridGraph.neighbourZOffsets	gridgraph.html#neighbourZOffsets	Offsets in the Z direction for neighbour nodes. \n\nOnly 1, 0 or -1
Pathfinding.GridGraph.neighbours	gridgraph.html#neighbours	Number of neighbours for each node. \n\nEither four, six, eight connections per node.\n\nSix connections is primarily for hexagonal graphs.
Pathfinding.GridGraph.newGridNodeDelegate	gridgraph.html#newGridNodeDelegate	Delegate which creates and returns a single instance of the node type for this graph. \n\nThis may be set in the constructor for graphs inheriting from the GridGraph to change the node type of the graph.
Pathfinding.GridGraph.nodeData	gridgraph.html#nodeData	Internal data for each node. \n\nIt also contains some data not stored in the node objects, such as normals for the surface of the graph. These normals need to be saved when the maxStepUsesSlope option is enabled for graph updates to work.
Pathfinding.GridGraph.nodeDataRef	gridgraph.html#nodeDataRef	
Pathfinding.GridGraph.nodeSize	gridgraph.html#nodeSize	Size of one node in world units. \n\nFor a grid layout, this is the length of the sides of the grid squares.\n\nFor a hexagonal layout, this value does not correspond to any specific dimension of the hexagon. Instead you can convert it to a dimension on a hexagon using ConvertNodeSizeToHexagonSize.\n\n[more in online documentation]
Pathfinding.GridGraph.nodes	gridgraph.html#nodes	All nodes in this graph. \n\nNodes are laid out row by row.\n\nThe first node has grid coordinates X=0, Z=0, the second one X=1, Z=0\n\nthe last one has grid coordinates X=width-1, Z=depth-1.\n\n<b>[code in online documentation]</b>\n\n[more in online documentation]
Pathfinding.GridGraph.penaltyAngle	gridgraph.html#penaltyAngle	[more in online documentation]
Pathfinding.GridGraph.penaltyAngleFactor	gridgraph.html#penaltyAngleFactor	How much penalty is applied depending on the slope of the terrain. \n\nAt a 90 degree slope (not that exactly 90 degree slopes can occur, but almost 90 degree), this penalty is applied. At a 45 degree slope, half of this is applied and so on. Note that you may require very large values, a value of 1000 is equivalent to the cost of moving 1 world unit.\n\n[more in online documentation]
Pathfinding.GridGraph.penaltyAnglePower	gridgraph.html#penaltyAnglePower	How much extra to penalize very steep angles. \n\n[more in online documentation]
Pathfinding.GridGraph.penaltyPosition	gridgraph.html#penaltyPosition	Use position (y-coordinate) to calculate penalty. \n\n[more in online documentation]
Pathfinding.GridGraph.penaltyPositionFactor	gridgraph.html#penaltyPositionFactor	Scale factor for penalty when calculating from position. \n\n[more in online documentation]
Pathfinding.GridGraph.penaltyPositionOffset	gridgraph.html#penaltyPositionOffset	Offset for the position when calculating penalty. \n\n[more in online documentation]
Pathfinding.GridGraph.rotation	gridgraph.html#rotation	Rotation of the grid in degrees. \n\nThe nodes are laid out along the X and Z axes of the rotation.\n\nFor a 2D game, the rotation will typically be set to (-90, 270, 90). If the graph is aligned with the XY plane, the inspector will automatically switch to 2D mode.\n\n[more in online documentation]
Pathfinding.GridGraph.rules	gridgraph.html#rules	Additional rules to use when scanning the grid graph. \n\n<b>[code in online documentation]</b>\n\n[more in online documentation]
Pathfinding.GridGraph.showMeshOutline	gridgraph.html#showMeshOutline	Show an outline of the grid nodes in the Unity Editor.
Pathfinding.GridGraph.showMeshSurface	gridgraph.html#showMeshSurface	Show the surface of the graph. \n\nEach node will be drawn as a square (unless e.g hexagon graph mode has been enabled).
Pathfinding.GridGraph.showNodeConnections	gridgraph.html#showNodeConnections	Show the connections between the grid nodes in the Unity Editor.
Pathfinding.GridGraph.size	gridgraph.html#size	Size of the grid. \n\nWill always be positive and larger than nodeSize. \n\n[more in online documentation]
Pathfinding.GridGraph.textureData	gridgraph.html#textureData	Holds settings for using a texture as source for a grid graph. \n\nTexure data can be used for fine grained control over how the graph will look. It can be used for positioning, penalty and walkability control.\n\nBelow is a screenshot of a grid graph with a penalty map applied. It has the effect of the AI taking the longer path along the green (low penalty) areas.\n\n <b>[image in online documentation]</b>[more in online documentation]\n\n\n\n[more in online documentation]
Pathfinding.GridGraph.transform	gridgraph.html#transform	Determines how the graph transforms graph space to world space. \n\n[more in online documentation]
Pathfinding.GridGraph.unclampedSize	gridgraph.html#unclampedSize	Size of the grid. \n\nCan be negative or smaller than nodeSize
Pathfinding.GridGraph.uniformEdgeCosts	gridgraph.html#uniformEdgeCosts	If true, all edge costs will be set to the same value. \n\nIf false, diagonals will cost more. This is useful for a hexagon graph where the diagonals are actually the same length as the normal edges (since the graph has been skewed)\n\nIf the graph is set to hexagonal in the inspector, this will be automatically set to true.
